,track_name,artist,release_date,album,content_id,track_number,album_artist,composer,isrc,spotify_search_track_name,spotify_search_artist,spotify_search_album,spotify_track_uri,spotify_artist_uri,spotify_release_year,spotify_total_tracks,spotify_add_album,spotify_album_uri
13,Heroes Everything,Pyrit,2015-06-26T12:00:00Z,Ufo,1252837410,1,,,,Heroes Everything,Pyrit,Ufo,,,2015,0,False,
20,On My Way to You,Martin Klein,2008-11-14T12:00:00Z,Songs for My Piano,1484750464,1,,,,On My Way to You,Martin Klein,Songs for My Piano,,,2008,0,False,
69,Odds and Ends,Slut,2007-01-01T12:00:00Z,StillNo1 (Bonus Track Version),713210099,1,,,,Odds and Ends,Slut,StillNo1,,,2007,0,False,
126,Baluba Shake,Brunetta,1966-01-01T12:00:00Z,Baluba Shake (The Essential: Ri-Fi Record Original Recordings),1404371965,1,,,,Baluba Shake,Brunetta,Baluba Shake,,,1966,0,False,
154,Little Numbers,BOY,2012,Mutual Friends,1445874529,1,,,,Little Numbers,BOY,Mutual Friends,,,2012,0,False,
213,Crocodile Rock,Elton John,1972-10-27T07:00:00Z,Don't Shoot Me I'm Only The Piano Player,1440926343,1,,,,Crocodile Rock,Elton John,Dont Shoot Me Im Only The Piano Player,,,1972,0,False,
248,,Yann Tiersen,2001-10-05T07:00:00Z,L'absente,695731250,1,,,,,Yann Tiersen,Labsente,,,2001,0,False,
251,Roll Your Own,,2020-06-05T07:00:00Z,Dream Queen,1517138654,1,,,,Roll Your Own,,Dream Queen,,,2020,0,False,
253,Dream Queen,,2020-06-05T07:00:00Z,Dream Queen,1517138656,1,,,,Dream Queen,,Dream Queen,,,2020,0,False,
254,Priscilla,,2020-06-05T07:00:00Z,Dream Queen,1517138651,1,,,,Priscilla,,Dream Queen,,,2020,0,False,
255,In the Mouth of the Beast,,2020-06-05T07:00:00Z,Dream Queen,1517138652,1,,,,In the Mouth of the Beast,,Dream Queen,,,2020,0,False,
269,Conc de Aranjuez: II. Adagio,André Previn & London Symphony Orchestra,1900-01-01T00:00:00Z,"Rodrigo: Concierto de Aranjuez, Fantasia & Elogio de Guitarra",714394981,1,,,,Conc de Aranjuez: II. Adagio,André Previn,"Rodrigo: Concierto de Aranjuez, Fantasia & Elogio de Guitarra",,,1900,0,False,
